full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized
sicepat tetep ekspedisi paling bagus se galaxy,tetep ekspedisi paling bagus se galaxy,still the best expedition in galaxy,still best expedition galaxy,"['still', 'best', 'expedition', 'galaxy']","['still', 'best', 'expedition', 'galaxy']"
Bagaimna cara kerja sama franchise si cepat karena saya kirim email tidak ada respon sama sekali dan saya kontak via instagram tidak memberikan info franchise da dialihkan ke email sedangkan email tidak ada respon,Bagaimna cara kerja sama franchise si cepat karena saya kirim email tidak ada respon sama sekali dan saya kontak via instagram tidak memberikan info franchise da dialihkan ke email sedangkan email tidak ada respon,how is the way the franchise is fast because i send an email there is no response at all and i contact via instagram does not provide franchise information and is transferred to the email while the email has no response,way franchise fast send email response contact via instagram provide franchise information transferred email email response,"['way', 'franchise', 'fast', 'send', 'email', 'response', 'contact', 'via', 'instagram', 'provide', 'franchise', 'information', 'transferred', 'email', 'email', 'response']","['way', 'franchise', 'fast', 'send', 'email', 'response', 'contact', 'via', 'instagram', 'provide', 'franchise', 'information', 'transfer', 'email', 'email', 'response']"
Malah hilang kaa punyakuu,Malah hilang kaa punyakuu,"in fact, i lost kaa punakuu",fact lost kaa punakuu,"['fact', 'lost', 'kaa', 'punakuu']","['fact', 'lose', 'kaa', 'punakuu']"
Hari ke Paket kami di MLNG oknum Hindari Pakai Lebih baik pakai dll JNE tidak bertanggungJawab ni pak,Hari ke Paket kami di MLNG oknum Hindari Pakai Lebih baik pakai dll tidak bertanggungJawab ni pak,day to our package in mlng individuals avoid using better use etc. irresponsible sir,day package mlng individuals avoid using better use etc irresponsible sir,"['day', 'package', 'mlng', 'individuals', 'avoid', 'using', 'better', 'use', 'etc', 'irresponsible', 'sir']","['day', 'package', 'mlng', 'individual', 'avoid', 'use', 'well', 'use', 'etc', 'irresponsible', 'sir']"
sicepat saja,saja,just,,[],[]
Update Bukti Nomor Resi Pengiriman Via SICEPAT BEST NEXT DAY Jasa pengiriman via JNE JampT SICEPAT Pembayaran via transfer Kami tidak melayani COD Cek Bukti Nomor Resi amp Paket Yang Sudah Sampai Daftar Menu,Update Bukti Nomor Resi Pengiriman Via BEST NEXT DAY Jasa pengiriman via JampT Pembayaran via transfer Kami tidak melayani COD Cek Bukti Nomor Resi amp Paket Yang Sudah Sampai Daftar Menu,update proof of shipping receipt number via best next day shipping service via jampt payment via transfer we do not serve cod check evidence of receipt number package that has reached the menu list,update proof shipping receipt number via best next day shipping service via jampt payment via transfer serve cod check evidence receipt number package reached menu list,"['update', 'proof', 'shipping', 'receipt', 'number', 'via', 'best', 'next', 'day', 'shipping', 'service', 'via', 'jampt', 'payment', 'via', 'transfer', 'serve', 'cod', 'check', 'evidence', 'receipt', 'number', 'package', 'reached', 'menu', 'list']","['update', 'proof', 'shipping', 'receipt', 'number', 'via', 'best', 'next', 'day', 'shipping', 'service', 'via', 'jampt', 'payment', 'via', 'transfer', 'serve', 'cod', 'check', 'evidence', 'receipt', 'number', 'package', 'reach', 'menu', 'list']"
Bantu up juga dong paket dari tanggal Juni sampe tanggal Juni sekarang tidak sampe sampe chat cs sampe datengin ke gudang langsung tidak ada kejelasan di oper sana sini saling lempar ini terakhir update tanggal,Bantu up juga dong paket dari tanggal Juni sampe tanggal Juni sekarang tidak sampe sampe chat cs sampe datengin ke gudang langsung tidak ada kejelasan di oper sana sini saling lempar ini terakhir update tanggal,"also help up the package from june to june now, it does not until cs until comes to the warehouse, there is no clarity on the pass here and there, the last update the date",also help package june june now cs comes warehouse clarity pass there last update date,"['also', 'help', 'package', 'june', 'june', 'now', 'cs', 'comes', 'warehouse', 'clarity', 'pass', 'there', 'last', 'update', 'date']","['also', 'help', 'package', 'june', 'june', 'now', 'c', 'come', 'warehouse', 'clarity', 'pas', 'there', 'last', 'update', 'date']"
kurirnya kebiasaan tidak pencet bel main tinggalin saja barang Awas saja lain kali barang saya diambil orang saya cari itu kurir,kurirnya kebiasaan tidak pencet bel main tinggalin saja barang Awas saja lain kali barang saya diambil orang saya cari itu kurir,"the courier is the habit of not pressing the bell just leave the alert item, next time my item is taken by my person.",courier habit pressing bell leave alert item next time item taken person,"['courier', 'habit', 'pressing', 'bell', 'leave', 'alert', 'item', 'next', 'time', 'item', 'taken', 'person']","['courier', 'habit', 'press', 'bell', 'leave', 'alert', 'item', 'next', 'time', 'item', 'take', 'person']"
MAU DIKIRIN LEWAT SICEPAT GA DEDE,MAU DIKIRIN LEWAT GA DEDE,want to be given through ga dede,want given ga dede,"['want', 'given', 'ga', 'dede']","['want', 'give', 'ga', 'dede']"
apotek berbagai macam gerai fampb amp pedagang kakilima deket salon yang banyak amp berjejer idk why deket RS klinik jampt sicepat lionparcel dll toko fotokopi toko perabot toko elektronik amp toko sembako taman and on top of that banyak pohon amp adem,apotek berbagai macam gerai fampb amp pedagang kakilima deket salon yang banyak amp berjejer idk why deket RS klinik jampt lionparcel dll toko fotokopi toko perabot toko elektronik amp toko sembako taman and on top of that banyak pohon amp adem,pharmacies various kinds of fampb amp watches close to the salon who are a lot of salon lined up idk why near the lionparcel jampt clinic hospital etc. a photocopy shop of the furniture shop amp shop grocery shops and on top of that many are cool trees cool,pharmacies various kinds fampb amp watches close salon lot salon lined idk near lionparcel jampt clinic hospital etc photocopy shop furniture shop amp shop grocery shops top many cool trees cool,"['pharmacies', 'various', 'kinds', 'fampb', 'amp', 'watches', 'close', 'salon', 'lot', 'salon', 'lined', 'idk', 'near', 'lionparcel', 'jampt', 'clinic', 'hospital', 'etc', 'photocopy', 'shop', 'furniture', 'shop', 'amp', 'shop', 'grocery', 'shops', 'top', 'many', 'cool', 'trees', 'cool']","['pharmacy', 'various', 'kind', 'fampb', 'amp', 'watch', 'close', 'salon', 'lot', 'salon', 'line', 'idk', 'near', 'lionparcel', 'jampt', 'clinic', 'hospital', 'etc', 'photocopy', 'shop', 'furniture', 'shop', 'amp', 'shop', 'grocery', 'shop', 'top', 'many', 'cool', 'tree', 'cool']"
Katanya tuh ada paket mau dikirim tetapi alamatnya kurang jelas padahal biasanya saya pakai alamat itu juga nyampe saja dan waktu saya pakai jasa sicepat kapan itu juga nyampe saja paketnya,Katanya tuh ada paket mau dikirim tetapi alamatnya kurang jelas padahal biasanya saya pakai alamat itu juga nyampe saja dan waktu saya pakai jasa kapan itu juga nyampe saja paketnya,he said there is a package to be sent but the address is unclear even though i usually use the address also arrive and when i use the services when it also arrives the package is,said package sent address unclear even though usually use address also arrive use services also arrives package,"['said', 'package', 'sent', 'address', 'unclear', 'even', 'though', 'usually', 'use', 'address', 'also', 'arrive', 'use', 'services', 'also', 'arrives', 'package']","['say', 'package', 'sent', 'address', 'unclear', 'even', 'though', 'usually', 'use', 'address', 'also', 'arrive', 'use', 'service', 'also', 'arrives', 'package']"
Guys tiba tiba diminta shareloc sama orang dari sicepat padahal saya tidak ada mesen barang sama sekali pakai sicepat kecuali minggu lalu dan itu pesanannya sudah selesai Masalahnya tidak hp nama and alamat benar punya saya tetapi saya lagi tidak ada mesen barang pakai jasa sicepat,Guys tiba tiba diminta shareloc sama orang dari padahal saya tidak ada mesen barang sama sekali pakai kecuali minggu lalu dan itu pesanannya sudah selesai Masalahnya tidak hp nama and alamat benar punya saya tetapi saya lagi tidak ada mesen barang pakai jasa,"guys suddenly asked shareloc and people from even though i did not have to order at all items except last week and the order was completed, the problem was not the name and the right address was mine but i had no messen for the services",guys suddenly asked shareloc people even though order items except last week order completed problem name right address mine messen services,"['guys', 'suddenly', 'asked', 'shareloc', 'people', 'even', 'though', 'order', 'items', 'except', 'last', 'week', 'order', 'completed', 'problem', 'name', 'right', 'address', 'mine', 'messen', 'services']","['guy', 'suddenly', 'ask', 'shareloc', 'people', 'even', 'though', 'order', 'item', 'except', 'last', 'week', 'order', 'complete', 'problem', 'name', 'right', 'address', 'mine', 'messen', 'service']"
Biasanya kalau sicepat tidak bisa pick up tuh ada notif tidak berhasil pick up disopinya tetapi saya baru tahu kalau diwa juga ada notif nya coba cek sopinya nya kak sama apa tidak,Biasanya kalau tidak bisa pick up tuh ada notif tidak berhasil pick up disopinya tetapi saya baru tahu kalau diwa juga ada notif nya coba cek sopinya nya kak sama apa tidak,"usually, if you can't pick up, there is a notification, it doesn't make it a pick up on it, but i just found out that there is also a notification, try checking the soup, sis, or not",usually cant pick up notification make pick it found also notification try checking soup sis,"['usually', 'cant', 'pick', 'up', 'notification', 'make', 'pick', 'it', 'found', 'also', 'notification', 'try', 'checking', 'soup', 'sis']","['usually', 'cant', 'pick', 'up', 'notification', 'make', 'pick', 'it', 'found', 'also', 'notification', 'try', 'check', 'soup', 'si']"
Guys ada yang tahu tidak ini apgimana Kan admin gw pertama kali minta pick up in sicepat trnyta ada chat begini ini ap yak gw kagak paham juga soalnya skskks tidak usah ditanggepin atoo bales ap,Guys ada yang tahu tidak ini apgimana Kan admin gw pertama kali minta pick up in trnyta ada chat begini ini ap yak gw kagak paham juga soalnya skskks tidak usah ditanggepin atoo bales ap,"guys anyone knows, i don't have the admin, i first asked for pickup in tnyta, there is a chat like this, i don't understand, because skskks doesn't need to be responded",guys anyone knows admin first asked pickup tnyta chat like this understand skskks need responded,"['guys', 'anyone', 'knows', 'admin', 'first', 'asked', 'pickup', 'tnyta', 'chat', 'like', 'this', 'understand', 'skskks', 'need', 'responded']","['guy', 'anyone', 'know', 'admin', 'first', 'ask', 'pickup', 'tnyta', 'chat', 'like', 'this', 'understand', 'skskks', 'need', 'respond']"
Iya saya jg gini tetapi tidak ada tanggapan dari    cs sicepat,Iya saya jg gini tetapi tidak ada tanggapan dari cs,yes i am also like this but there is no response from cs,yes also like response cs,"['yes', 'also', 'like', 'response', 'cs']","['yes', 'also', 'like', 'response', 'c']"
Woeeee bales dong,Woeeee bales dong,woee replied,woee replied,"['woee', 'replied']","['woee', 'reply']"
tolong cek DM yaa,tolong cek DM yaa,please check dm,please check dm,"['please', 'check', 'dm']","['please', 'check', 'dm']"
gila saya tidak sanggup lagi sama sicepat,gila saya tidak sanggup lagi sama,crazy i can't be the same anymore,crazy cant anymore,"['crazy', 'cant', 'anymore']","['crazy', 'cant', 'anymore']"
Shopee Diselidiki soal Monopoli Apa Kata Anteraja JNE SiCepat,Shopee Diselidiki soal Monopoli Apa Kata,shopee is investigated about the monopoly what words,shopee investigated monopoly words,"['shopee', 'investigated', 'monopoly', 'words']","['shopee', 'investigate', 'monopoly', 'word']"
Permisi admin tolong cek pesanan dengan resi ini Pesanannya diantar ke alamat yang berbeda dengan yang dipesan oleh pembeli dan bukti fotonya juga blur oleh kurirnya,Permisi admin tolong cek pesanan dengan resi ini Pesanannya diantar ke alamat yang berbeda dengan yang dipesan oleh pembeli dan bukti fotonya juga blur oleh kurirnya,excuse me admin please check the order with this receipt the order is delivered to a different address from those ordered by the buyer and the proof of the photo is also blurred by the courier,excuse admin please check order receipt order delivered different address ordered buyer proof photo also blurred courier,"['excuse', 'admin', 'please', 'check', 'order', 'receipt', 'order', 'delivered', 'different', 'address', 'ordered', 'buyer', 'proof', 'photo', 'also', 'blurred', 'courier']","['excuse', 'admin', 'please', 'check', 'order', 'receipt', 'order', 'deliver', 'different', 'address', 'order', 'buyer', 'proof', 'photo', 'also', 'blur', 'courier']"
want to sell wts sonny angel hippers crocodile looking back k harga aft svidincl adm With bnf Unusedfresh pull Ready Ina Pengiriman pilih sicepatjnejnt tag sonny angel lfb songel unsealed wts wtb sell sonny angel hippers animal harvest series,want to sell wts sonny angel hippers crocodile looking back k harga aft svidincl adm With bnf Unusedfresh pull Ready Ina Pengiriman pilih sicepatjnejnt tag sonny angel lfb songel unsealed wts wtb sell sonny angel hippers animal harvest series,want to sell wts sonny angel hippers crocodile looking back price aft svidincl adm with bnf unitedfresh pull ready ina delivery select sicepatjnt tag sonny angel lfb songel unsealed wts wtb sell sonny angel hippers,want sell wts sonny angel hippers crocodile looking back price aft svidincl adm bnf unitedfresh pull ready ina delivery select sicepatjnt tag sonny angel lfb songel unsealed wts wtb sell sonny angel hippers,"['want', 'sell', 'wts', 'sonny', 'angel', 'hippers', 'crocodile', 'looking', 'back', 'price', 'aft', 'svidincl', 'adm', 'bnf', 'unitedfresh', 'pull', 'ready', 'ina', 'delivery', 'select', 'sicepatjnt', 'tag', 'sonny', 'angel', 'lfb', 'songel', 'unsealed', 'wts', 'wtb', 'sell', 'sonny', 'angel', 'hippers']","['want', 'sell', 'wts', 'sonny', 'angel', 'hippers', 'crocodile', 'look', 'back', 'price', 'aft', 'svidincl', 'adm', 'bnf', 'unitedfresh', 'pull', 'ready', 'ina', 'delivery', 'select', 'sicepatjnt', 'tag', 'sonny', 'angel', 'lfb', 'songel', 'unsealed', 'wts', 'wtb', 'sell', 'sonny', 'angel', 'hippers']"
kurir ekspedisi yang biasanya pickup kerumah sudah pada resign begitupun kurir yang suka nganter paket lupa kurir apa antara anteraja atau sicepat sopan sangat suka salam kalau mau nganter paket semoga rejekinya berlimpah dan berkah sedih banget belum smpt ngasih hadiah ke mereka,kurir ekspedisi yang biasanya pickup kerumah sudah pada resign begitupun kurir yang suka nganter paket lupa kurir apa antara atau sopan sangat suka salam kalau mau nganter paket semoga rejekinya berlimpah dan berkah sedih banget belum smpt ngasih hadiah ke mereka,"expedition courier who usually pickup home is already resigned as well as couriers who like to take packages for forgetting what courier is between or polite really likes to greet me if you want to take a package, hopefully the fortune",expedition courier usually pickup home already resigned well couriers like take packages forgetting courier polite really likes greet want take package hopefully fortune,"['expedition', 'courier', 'usually', 'pickup', 'home', 'already', 'resigned', 'well', 'couriers', 'like', 'take', 'packages', 'forgetting', 'courier', 'polite', 'really', 'likes', 'greet', 'want', 'take', 'package', 'hopefully', 'fortune']","['expedition', 'courier', 'usually', 'pickup', 'home', 'already', 'resign', 'well', 'courier', 'like', 'take', 'package', 'forget', 'courier', 'polite', 'really', 'like', 'greet', 'want', 'take', 'package', 'hopefully', 'fortune']"
ness loket sicepat area Unnes dmna ya,ness loket area Unnes dmna ya,ness locket area unnes dmna,ness locket area unnes dmna,"['ness', 'locket', 'area', 'unnes', 'dmna']","['ness', 'locket', 'area', 'unnes', 'dmna']"
INFO guys sekarang pengiriman memang pakai anteraja saja tadinya pakai sicepat amp anteraja tetapi belakangan sicepat sering banget paket sampe pembeli dalam keadaan rusak pecah hilang tanpa keterangan kalau kasus hilang pas retur ini saya tidak dapet ganti dari ekspedisi,INFO guys sekarang pengiriman memang pakai saja tadinya pakai amp tetapi belakangan sering banget paket sampe pembeli dalam keadaan rusak pecah hilang tanpa keterangan kalau kasus hilang pas retur ini saya tidak dapet ganti dari ekspedisi,info guys now delivery does use it just use amp but lately the package is very often until the buyer in a broken damaged state is lost without information if the case is lost when this return i can not be replaced from the expedition,info guys delivery use use amp lately package often buyer broken damaged state lost without information case lost return replaced expedition,"['info', 'guys', 'delivery', 'use', 'use', 'amp', 'lately', 'package', 'often', 'buyer', 'broken', 'damaged', 'state', 'lost', 'without', 'information', 'case', 'lost', 'return', 'replaced', 'expedition']","['info', 'guy', 'delivery', 'use', 'use', 'amp', 'lately', 'package', 'often', 'buyer', 'broken', 'damage', 'state', 'lose', 'without', 'information', 'case', 'lose', 'return', 'replace', 'expedition']"
DISURUH DROP DI CABANG YG JAUHNYA JAM menurut lu anjirrrrr yang benar saja lu sicepat,DISURUH DROP DI CABANG YG JAUHNYA JAM menurut lu anjirrrrr yang benar saja lu,told to drop in a branch that is far away according to you anjirr.,told drop branch far away according anjirr,"['told', 'drop', 'branch', 'far', 'away', 'according', 'anjirr']","['told', 'drop', 'branch', 'far', 'away', 'accord', 'anjirr']"
Nggak Ini bukan masalah harga barangnya harga barangnya nggak seberapa cuman saya nggak suka cara lu ngetreat customer lo seperti gini,Nggak Ini bukan masalah harga barangnya harga barangnya nggak seberapa cuman saya nggak suka cara lu ngetreat customer lo seperti gini,"this is not a matter of the price of the goods, the price of the item doesn't have any, i don't like the way you know your customer like this",matter price goods price item any like way know customer like,"['matter', 'price', 'goods', 'price', 'item', 'any', 'like', 'way', 'know', 'customer', 'like']","['matter', 'price', 'good', 'price', 'item', 'any', 'like', 'way', 'know', 'customer', 'like']"
Sumpah Bikin emosi lu nggak berguna CS lu,Sumpah Bikin emosi lu nggak berguna CS lu,i swear to make your emotions use your cs,swear make emotions use cs,"['swear', 'make', 'emotions', 'use', 'cs']","['swear', 'make', 'emotion', 'use', 'c']"
sicepat KENAPA JELEK BGTTTTTT,KENAPA JELEK BGTTTTTT,why is it bad,bad,['bad'],['bad']
terima kasih sangat ya btw,terima kasih sangat ya btw,thank you very much btw,thank much btw,"['thank', 'much', 'btw']","['thank', 'much', 'btw']"
Paket saya sjk tanggal ngg jalan kenapa,Paket saya sjk tanggal ngg jalan kenapa,my package is very dated why,package dated,"['package', 'dated']","['package', 'date']"
Min kenapa paket saya yang ini tidak sampesampe ya malah keduluan sama yang baru dipesan resi,Min kenapa paket saya yang ini tidak sampesampe ya malah keduluan sama yang baru dipesan resi,"min, why is my package not arriving at the same time, i will be the same",min package arriving time,"['min', 'package', 'arriving', 'time']","['min', 'package', 'arrive', 'time']"
Kadang juga misal kalau sicepat kan ada sicepat regb ada juga sicepat halu Nah beberapa daerah sudah tidak nyediain sicepat halu akhirnya harus pakai yang lain Ini kejadian pas saya mau kirim barang ke buyer,Kadang juga misal kalau kan ada regb ada juga halu Nah beberapa daerah sudah tidak nyediain halu akhirnya harus pakai yang lain Ini kejadian pas saya mau kirim barang ke buyer,"sometimes also for example if there is regb there are also haalu, some regions are not provided halu, finally i have to use the others when i want to send goods to the buyer",sometimes also example regb also haalu regions provided halu finally use others want send goods buyer,"['sometimes', 'also', 'example', 'regb', 'also', 'haalu', 'regions', 'provided', 'halu', 'finally', 'use', 'others', 'want', 'send', 'goods', 'buyer']","['sometimes', 'also', 'example', 'regb', 'also', 'haalu', 'region', 'provide', 'halu', 'finally', 'use', 'others', 'want', 'send', 'good', 'buyer']"
cek dm,cek dm,check dm,check dm,"['check', 'dm']","['check', 'dm']"
jelek lu,jelek lu,you're ugly,ugly,['ugly'],['ugly']
sudah kebelet pipis malah minum banyak karena panik wkwk,sudah kebelet pipis malah minum banyak karena panik wkwk,have been dying to pee even drink a lot because of panic,dying pee even drink lot panic,"['dying', 'pee', 'even', 'drink', 'lot', 'panic']","['die', 'pee', 'even', 'drink', 'lot', 'panic']"
sudah pickup telat hari giliran didrop prosesnya masih lama juga jelek banget sicepat RESEKKKKKKK,sudah pickup telat hari giliran didrop prosesnya masih lama juga jelek banget RESEKKKKKKK,already pickup late day the turn dropped the process is still a long time too bad resekk,already pickup late day turn dropped process still long time bad resekk,"['already', 'pickup', 'late', 'day', 'turn', 'dropped', 'process', 'still', 'long', 'time', 'bad', 'resekk']","['already', 'pickup', 'late', 'day', 'turn', 'drop', 'process', 'still', 'long', 'time', 'bad', 'resekk']"
Pake sicepat best dari sudah hampir seminggu sampai sekarang masih belum sampai juga bagaimana ini admin,Pake best dari sudah hampir seminggu sampai sekarang masih belum sampai juga bagaimana ini admin,using the best from almost a week until now still hasn't arrived how this is the admin,using best almost week still arrived admin,"['using', 'best', 'almost', 'week', 'still', 'arrived', 'admin']","['use', 'best', 'almost', 'week', 'still', 'arrive', 'admin']"
Want To Sell Mingyu PC Help rtlikes Jateng INA SicepatAnteraja Splitpay CO video Shopee Good Condi,Want To Sell Mingyu PC Help rtlikes Jateng INA SicepatAnteraja Splitpay CO video Shopee Good Condi,want to sell mingyu pc help rtlies jateng ina sicepatanteraja splitpay co video shopee good condi,want sell mingyu pc help rtlies jateng ina sicepatanteraja splitpay co video shopee good condi,"['want', 'sell', 'mingyu', 'pc', 'help', 'rtlies', 'jateng', 'ina', 'sicepatanteraja', 'splitpay', 'co', 'video', 'shopee', 'good', 'condi']","['want', 'sell', 'mingyu', 'pc', 'help', 'rtlies', 'jateng', 'ina', 'sicepatanteraja', 'splitpay', 'co', 'video', 'shopee', 'good', 'condi']"
emg Tokopedia nih kurirnya bisa ganti gini dari    sicepat jadi jne,emg Tokopedia nih kurirnya bisa ganti gini dari jadi,"emg tokopedia, the courier can change it from jadi",emg tokopedia courier change jadi,"['emg', 'tokopedia', 'courier', 'change', 'jadi']","['emg', 'tokopedia', 'courier', 'change', 'jadi']"
admin tolong bantu cek paket dengan resi dari hari senin stuck harusnya sudah sampai dari kemarin,admin tolong bantu cek paket dengan resi dari hari senin stuck harusnya sudah sampai dari kemarin,admin please help check the package with a receipt from monday stuck should have arrived from yesterday,admin please help check package receipt monday stuck arrived yesterday,"['admin', 'please', 'help', 'check', 'package', 'receipt', 'monday', 'stuck', 'arrived', 'yesterday']","['admin', 'please', 'help', 'check', 'package', 'receipt', 'monday', 'stuck', 'arrive', 'yesterday']"
Estimasi tanggal ya kak Estimasi tanggal ya kak Mohon ditunggu sangat jam hari kerja setelah laporan dibuat ya kak Sicepat beneran kek tai,Estimasi tanggal ya kak Estimasi tanggal ya kak Mohon ditunggu sangat jam hari kerja setelah laporan dibuat ya kak beneran kek tai,"date estimation yes sis estimated date yes, sis, please wait very working hours after the report is made, sis, really",date estimation yes sis estimated date yes sis please wait working hours report made sis really,"['date', 'estimation', 'yes', 'sis', 'estimated', 'date', 'yes', 'sis', 'please', 'wait', 'working', 'hours', 'report', 'made', 'sis', 'really']","['date', 'estimation', 'yes', 'si', 'estimate', 'date', 'yes', 'si', 'please', 'wait', 'work', 'hour', 'report', 'make', 'si', 'really']"
mau ngasih appreciation post untuk amp seller Electronic Gadget Store beli barang hari Minggu ngira bakal dianter Selasa terus sampainya hari Jum at but tidak terlampir langsung diproses hari itu juga followed with pengiriman yang cepet pol amp smooth,mau ngasih appreciation post untuk amp seller Electronic Gadget Store beli barang hari Minggu ngira bakal dianter Selasa terus sampainya hari Jum at but tidak terlampir langsung diproses hari itu juga followed with pengiriman yang cepet pol amp smooth,want to give appreciation post for amp seller electronic gadget store to buy items on sunday think that it will be delivered tuesday and until the day of friday at but not attached immediately processed that day also followed with shipping that is fast pol.,want give appreciation post amp seller electronic gadget store buy items sunday think delivered tuesday day friday attached immediately processed day also followed shipping fast pol,"['want', 'give', 'appreciation', 'post', 'amp', 'seller', 'electronic', 'gadget', 'store', 'buy', 'items', 'sunday', 'think', 'delivered', 'tuesday', 'day', 'friday', 'attached', 'immediately', 'processed', 'day', 'also', 'followed', 'shipping', 'fast', 'pol']","['want', 'give', 'appreciation', 'post', 'amp', 'seller', 'electronic', 'gadget', 'store', 'buy', 'item', 'sunday', 'think', 'deliver', 'tuesday', 'day', 'friday', 'attach', 'immediately', 'process', 'day', 'also', 'follow', 'shipping', 'fast', 'pol']"
