full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,stemmed_data,text_stemmed,pos,neg,neu,label
Iya saya juga gini tetapi tidak ada tanggapan dari cs sicepat,Iya saya juga gini tetapi tidak ada tanggapan dari cs,yes i also like this but there is no response from cs,yes also like response cs,"['yes', 'also', 'like', 'response', 'cs']","['ye', 'also', 'like', 'respons', 'cs']",ye also like respons cs,0.385,0.0,0.615,positive
Utk yang co pelunasan pakai ekspedisi jnt dah saya drop tadi Kalo yang sicepat sudah dijadwalin pickup sore ini Thank you CO mercari dan web jp Rate hari ini,Utk yang co pelunasan pakai ekspedisi dah saya drop tadi Kalo yang sudah dijadwalin pickup sore ini Thank you CO mercari dan web jp Rate hari ini,"for those who are repaying using expeditions, i have dropped, but if you have scheduled a pickup this afternoon, thank you coils and the jp rate web today",repaying using expeditions dropped scheduled pickup afternoon thank coils jp rate web today,"['repaying', 'using', 'expeditions', 'dropped', 'scheduled', 'pickup', 'afternoon', 'thank', 'coils', 'jp', 'rate', 'web', 'today']","['repay', 'use', 'expedit', 'drop', 'schedul', 'pickup', 'afternoon', 'thank', 'coil', 'jp', 'rate', 'web', 'today']",repay use expedit drop schedul pickup afternoon thank coil jp rate web today,0.262,0.128,0.61,positive
Engga juga seperti yang terupload di video saya bekerja di bagian sortir barang di Sicepat Expres Blitar Setiap barang yang datang dari gudang Malang kita perlakukan selayaknya orang Scan In dan orang menurunkan barang dari Truk lintasnya persatu Sticker Fragile,Engga juga seperti yang terupload di video saya bekerja di bagian sortir barang di Expres Blitar Setiap barang yang datang dari gudang Malang kita perlakukan selayaknya orang Scan In dan orang menurunkan barang dari Truk lintasnya persatu Sticker Fragile,"not as uploaded in my video working in the sorting goods in the blitar express every item that comes from the poor warehouse, we treat it like a scan of in and people lower the goods from the truck crossing the sticker fragile",uploaded video working sorting goods blitar express every item comes poor warehouse treat like scan people lower goods truck crossing sticker fragile,"['uploaded', 'video', 'working', 'sorting', 'goods', 'blitar', 'express', 'every', 'item', 'comes', 'poor', 'warehouse', 'treat', 'like', 'scan', 'people', 'lower', 'goods', 'truck', 'crossing', 'sticker', 'fragile']","['upload', 'video', 'work', 'sort', 'good', 'blitar', 'express', 'everi', 'item', 'come', 'poor', 'warehous', 'treat', 'like', 'scan', 'peopl', 'lower', 'good', 'truck', 'cross', 'sticker', 'fragil']",upload video work sort good blitar express everi item come poor warehous treat like scan peopl lower good truck cross sticker fragil,0.341,0.164,0.495,positive
Sdh di WA yang balas malah robot Disini jawab nya mala seperti gini,Sdh di WA yang balas malah robot Disini jawab nya mala seperti gini,already in wa who replied instead of the robot here the answer was like this,already wa replied instead robot answer like,"['already', 'wa', 'replied', 'instead', 'robot', 'answer', 'like']","['alreadi', 'wa', 'repli', 'instead', 'robot', 'answer', 'like']",alreadi wa repli instead robot answer like,0.294,0.0,0.706,positive
samaaaaa padahal paket sebelum nya aman saja masa pas sicepat dapet potongan,samaaaaa padahal paket sebelum nya aman saja masa pas dapet potongan,same even though the previous package was safe when i got a piece,even though previous package safe got piece,"['even', 'though', 'previous', 'package', 'safe', 'got', 'piece']","['even', 'though', 'previou', 'packag', 'safe', 'got', 'piec']",even though previou packag safe got piec,0.326,0.0,0.674,positive
karena saya mikirnya biar kurir expedisi lain biar tetep ada penghasilan begitu tetapi saya liat juga kalau tidak spx ya jnt begitu iseng lah kemarin ada pilihan spx sama sicepat akhirnya ku coba saja sicepat anjir bgttt seminggu tidak nyampe sampe sekarang,karena saya mikirnya biar kurir expedisi lain biar tetep ada penghasilan begitu tetapi saya liat juga kalau tidak ya begitu iseng lah kemarin ada pilihan sama akhirnya ku coba saja anjir bgttt seminggu tidak nyampe sampe sekarang,"because i think it is to make another expedition courier so that there is still an income like that but i also see if it's not so fun yesterday there was the same choice, finally i just tried it for a week not arrived until now",think make another expedition courier still income like also see fun yesterday choice finally tried week arrived,"['think', 'make', 'another', 'expedition', 'courier', 'still', 'income', 'like', 'also', 'see', 'fun', 'yesterday', 'choice', 'finally', 'tried', 'week', 'arrived']","['think', 'make', 'anoth', 'expedit', 'courier', 'still', 'incom', 'like', 'also', 'see', 'fun', 'yesterday', 'choic', 'final', 'tri', 'week', 'arriv']",think make anoth expedit courier still incom like also see fun yesterday choic final tri week arriv,0.279,0.0,0.721,positive
sicepat tetep ekspedisi paling bagus se galaxy,tetep ekspedisi paling bagus se galaxy,still the best expedition in galaxy,still best expedition galaxy,"['still', 'best', 'expedition', 'galaxy']","['still', 'best', 'expedit', 'galaxi']",still best expedit galaxi,0.583,0.0,0.417,positive
betul bang sicepat juga sering keliatan begitu,betul bang juga sering keliatan begitu,"that's right, i often look like that",thats right often look like,"['thats', 'right', 'often', 'look', 'like']","['that', 'right', 'often', 'look', 'like']",that right often look like,0.385,0.0,0.615,positive
Hallo mohon info lokasi drop point sicepat yang terafiliasi dengan toko oren Lokasi pengiriman di kec Depok Sleman DIY Terima kasih,Hallo mohon info lokasi drop point yang terafiliasi dengan toko oren Lokasi pengiriman di kec Depok Sleman DIY Terima kasih,"hello, ask for information on the location of the drop point that is affiliated with the oren shop for the shipping location in depok kec depok sleman diy, thank you",hello ask information location drop point affiliated oren shop shipping location depok kec depok sleman diy thank,"['hello', 'ask', 'information', 'location', 'drop', 'point', 'affiliated', 'oren', 'shop', 'shipping', 'location', 'depok', 'kec', 'depok', 'sleman', 'diy', 'thank']","['hello', 'ask', 'inform', 'locat', 'drop', 'point', 'affili', 'oren', 'shop', 'ship', 'locat', 'depok', 'kec', 'depok', 'sleman', 'diy', 'thank']",hello ask inform locat drop point affili oren shop ship locat depok kec depok sleman diy thank,0.128,0.107,0.765,positive
Paket saya mau kapan retur nya di aplikqsi sampai tanggal di wa sampai tanggal di email sampai tanggal Yang jelas dong kendalanya karena pembeli tidak dikenali saya sudah beberapa kali pakai alamat saya aman aman saja cuman sicepat memcari pembenaran saja,Paket saya mau kapan retur nya di aplikqsi sampai tanggal di wa sampai tanggal di email sampai tanggal Yang jelas dong kendalanya karena pembeli tidak dikenali saya sudah beberapa kali pakai alamat saya aman aman saja cuman memcari pembenaran saja,"the package i want to do when the return is applicated until the date on the wa until the date in the email until the date is clear, the obstacle is because the buyer is not recognized, i have used my address safely several times, but only looking for justification",package want return applicated date wa date email date clear obstacle buyer recognized used address safely several times looking justification,"['package', 'want', 'return', 'applicated', 'date', 'wa', 'date', 'email', 'date', 'clear', 'obstacle', 'buyer', 'recognized', 'used', 'address', 'safely', 'several', 'times', 'looking', 'justification']","['packag', 'want', 'return', 'applic', 'date', 'wa', 'date', 'email', 'date', 'clear', 'obstacl', 'buyer', 'recogn', 'use', 'address', 'safe', 'sever', 'time', 'look', 'justif']",packag want return applic date wa date email date clear obstacl buyer recogn use address safe sever time look justif,0.286,0.0,0.714,positive
sicepat perak perpaket nder kalau resinya tulis tangan,perak perpaket nder kalau resinya tulis tangan,silver publishing nder if the respect hand written,silver publishing nder respect hand written,"['silver', 'publishing', 'nder', 'respect', 'hand', 'written']","['silver', 'publish', 'nder', 'respect', 'hand', 'written']",silver publish nder respect hand written,0.612,0.0,0.388,positive
kenapa kalau sebagai seller saya kirim pakai sicepat kurang dari jam sudah sampe tapiiii kalau sebagai buyer nyampe nya tidak se cepet itu tetapi benar deh tidak boonk sicepat nyampe nya se cepet itu,kenapa kalau sebagai seller saya kirim pakai kurang dari jam sudah sampe tapiiii kalau sebagai buyer nyampe nya tidak se cepet itu tetapi benar deh tidak boonk nyampe nya se cepet itu,"why if as a seller i send it using less than the clock, it has arrived but if as a buyer it arrived, it's not that fast but it's true that the boonk will arrive at that fast",seller send using less clock arrived buyer arrived fast true boonk arrive fast,"['seller', 'send', 'using', 'less', 'clock', 'arrived', 'buyer', 'arrived', 'fast', 'true', 'boonk', 'arrive', 'fast']","['seller', 'send', 'use', 'less', 'clock', 'arriv', 'buyer', 'arriv', 'fast', 'true', 'boonk', 'arriv', 'fast']",seller send use less clock arriv buyer arriv fast true boonk arriv fast,0.367,0.0,0.633,positive
woi kirim paket saya ke rumah Ngapain disimpen di cakung hari Ilang Keselip Apa Yang bilang nggak ada pertanyaan siapa Itu saja kamu nggak jawab Main mengakhiri percakapan saja,woi kirim paket saya ke rumah Ngapain disimpen di cakung hari Ilang Keselip Apa Yang bilang nggak ada pertanyaan siapa Itu saja kamu nggak jawab Main mengakhiri percakapan saja,"wow, send my package to the house, what are you stored in cakung hari, i have slipped, what says there is no question who is just you not answer to ending the conversation",wow send package house stored cakung hari slipped says question answer ending conversation,"['wow', 'send', 'package', 'house', 'stored', 'cakung', 'hari', 'slipped', 'says', 'question', 'answer', 'ending', 'conversation']","['wow', 'send', 'packag', 'hous', 'store', 'cakung', 'hari', 'slip', 'say', 'question', 'answer', 'end', 'convers']",wow send packag hous store cakung hari slip say question answer end convers,0.241,0.0,0.759,positive
Bukti Nomor Resi dan Paket Yang Sudah Sampai Jasa pengiriman via JNE JampT SICEPAT Pembayaran via transfer Kami tidak melayani COD Cek Bukti Nomor Resi dan Paket Yang Sudah Sampai Daftar Menu,Bukti Nomor Resi dan Paket Yang Sudah Sampai Jasa pengiriman via JampT Pembayaran via transfer Kami tidak melayani COD Cek Bukti Nomor Resi dan Paket Yang Sudah Sampai Daftar Menu,proof of receipt number and package that has reached shipping service via jampt payment via transfer we do not serve cod check proof of receipt number and package that has arrived in the menu list,proof receipt number package reached shipping service via jampt payment via transfer serve cod check proof receipt number package arrived menu list,"['proof', 'receipt', 'number', 'package', 'reached', 'shipping', 'service', 'via', 'jampt', 'payment', 'via', 'transfer', 'serve', 'cod', 'check', 'proof', 'receipt', 'number', 'package', 'arrived', 'menu', 'list']","['proof', 'receipt', 'number', 'packag', 'reach', 'ship', 'servic', 'via', 'jampt', 'payment', 'via', 'transfer', 'serv', 'cod', 'check', 'proof', 'receipt', 'number', 'packag', 'arriv', 'menu', 'list']",proof receipt number packag reach ship servic via jampt payment via transfer serv cod check proof receipt number packag arriv menu list,0.163,0.0,0.837,positive
ok minn,ok minn,ok minn,ok minn,"['ok', 'minn']","['ok', 'minn']",ok minn,0.688,0.0,0.312,positive
Bener mbaknya koq jn karena setahuku sekarang lebih cepat pakai tiki jne sicepat deh jn drpd pak post,Bener mbaknya koq jn karena setahuku sekarang lebih cepat pakai tiki deh jn drpd pak post,"it's true, how come you know, because as far as i know now i use tiki faster, right?",true come know far know use tiki faster right,"['true', 'come', 'know', 'far', 'know', 'use', 'tiki', 'faster', 'right']","['true', 'come', 'know', 'far', 'know', 'use', 'tiki', 'faster', 'right']",true come know far know use tiki faster right,0.259,0.0,0.741,positive
Sumpah ya ekspedisi kalian tuh jelek sangat tahu sadar tidak ya kali pesen barang bukan PO nunggu hampir minggu rugi dong kalah sama sicepat sama sama ekspedisi budget tetapi bagaikan langit dan bumi,Sumpah ya ekspedisi kalian tuh jelek sangat tahu sadar tidak ya kali pesen barang bukan PO nunggu hampir minggu rugi dong kalah sama sama sama ekspedisi budget tetapi bagaikan langit dan bumi,"oath, your expedition is ugly, i really know that you are not aware that it is not a matter of order, not waiting for almost a week to lose the same as the budget expedition but like heaven and earth",oath expedition ugly really know aware matter order waiting almost week lose budget expedition like heaven earth,"['oath', 'expedition', 'ugly', 'really', 'know', 'aware', 'matter', 'order', 'waiting', 'almost', 'week', 'lose', 'budget', 'expedition', 'like', 'heaven', 'earth']","['oath', 'expedit', 'ugli', 'realli', 'know', 'awar', 'matter', 'order', 'wait', 'almost', 'week', 'lose', 'budget', 'expedit', 'like', 'heaven', 'earth']",oath expedit ugli realli know awar matter order wait almost week lose budget expedit like heaven earth,0.309,0.108,0.582,positive
Kayaknya semuanya sama sengaja pesan sebelum biar tidak over load malah jadinya ky gini Emang dasarnya ekspedisi lambat,Kayaknya semuanya sama sengaja pesan sebelum biar tidak over load malah jadinya ky gini Emang dasarnya ekspedisi lambat,"i think everything is the same as deliberately ordered before not over load, but it is like this, basically a slow expedition",think everything deliberately ordered load like this basically slow expedition,"['think', 'everything', 'deliberately', 'ordered', 'load', 'like', 'this', 'basically', 'slow', 'expedition']","['think', 'everyth', 'deliber', 'order', 'load', 'like', 'thi', 'basic', 'slow', 'expedit']",think everyth deliber order load like thi basic slow expedit,0.208,0.125,0.667,positive
ka bantu cek dm,ka bantu cek dm,ka help check dm,ka help check dm,"['ka', 'help', 'check', 'dm']","['ka', 'help', 'check', 'dm']",ka help check dm,0.474,0.0,0.526,positive
sbt Punten gess ada yang tinggal di jakarta pusat dket kantor sicepat cabang nggk yaa Klo ada yang berkenan saya mau minta tolong Klo oot bilang yaa,sbt Punten gess ada yang tinggal di jakarta pusat dket kantor cabang nggk yaa Klo ada yang berkenan saya mau minta tolong Klo oot bilang yaa,"sbt punten gaes, someone lives in central jakarta near the branch office, if someone is pleased, i want to ask for help if oot says yaa",sbt punten gaes someone lives central jakarta near branch office someone pleased want ask help oot says yaa,"['sbt', 'punten', 'gaes', 'someone', 'lives', 'central', 'jakarta', 'near', 'branch', 'office', 'someone', 'pleased', 'want', 'ask', 'help', 'oot', 'says', 'yaa']","['sbt', 'punten', 'gae', 'someon', 'live', 'central', 'jakarta', 'near', 'branch', 'offic', 'someon', 'pleas', 'want', 'ask', 'help', 'oot', 'say', 'yaa']",sbt punten gae someon live central jakarta near branch offic someon pleas want ask help oot say yaa,0.2,0.0,0.8,positive
Gua baru kali ini tiap hari telponin CS buat nanyain paket Gak masuk akal anjrit ketahan dari tanggal tidak jalan Barangnya gatau di mana Dari Sabtu jawabannya selalu sedang investigasi Status tidak update di web Lu maunya apa,Gua baru kali ini tiap hari telponin CS buat nanyain paket Gak masuk akal anjrit ketahan dari tanggal tidak jalan Barangnya gatau di mana Dari Sabtu jawabannya selalu sedang investigasi Status tidak update di web Lu maunya apa,this is the first time i call cs every day to ask the package that does not make sense of the durability from the date not the way the goods don't know where from saturday the answer is always investigating the status not updated on your website what you want,first time call cs every day ask package make sense durability date way goods know saturday answer always investigating status updated website want,"['first', 'time', 'call', 'cs', 'every', 'day', 'ask', 'package', 'make', 'sense', 'durability', 'date', 'way', 'goods', 'know', 'saturday', 'answer', 'always', 'investigating', 'status', 'updated', 'website', 'want']","['first', 'time', 'call', 'cs', 'everi', 'day', 'ask', 'packag', 'make', 'sens', 'durabl', 'date', 'way', 'good', 'know', 'saturday', 'answer', 'alway', 'investig', 'statu', 'updat', 'websit', 'want']",first time call cs everi day ask packag make sens durabl date way good know saturday answer alway investig statu updat websit want,0.167,0.0,0.833,positive
Saya sudah difollow up melalui twitter Tolong dikasih pengarahan semua kurir dan siapapun yang menangani tolong dikirim dengan baik barangnya Karena itu pakai uang semua,Saya sudah difollow up melalui twitter Tolong dikasih pengarahan semua kurir dan siapapun yang menangani tolong dikirim dengan baik barangnya Karena itu pakai uang semua,"i have been followed up via twitter, please give the direction of all the couriers and anyone who handles it, please send it well because it uses all money",followed via twitter please give direction couriers anyone handles it please send well uses money,"['followed', 'via', 'twitter', 'please', 'give', 'direction', 'couriers', 'anyone', 'handles', 'it', 'please', 'send', 'well', 'uses', 'money']","['follow', 'via', 'twitter', 'pleas', 'give', 'direct', 'courier', 'anyon', 'handl', 'it', 'pleas', 'send', 'well', 'use', 'money']",follow via twitter pleas give direct courier anyon handl it pleas send well use money,0.13,0.0,0.87,positive
PLSSS ITU UDAH DESPERATE BGTT AMA SICEPAT JIRR GAUSA KETAWA YH KM MUNJI,PLSSS ITU UDAH DESPERATE BGTT AMA JIRR GAUSA KETAWA YH KM MUNJI,plss is already desperate and jirr gausa laughs yh km munji,plss already desperate jirr gausa laughs yh km munji,"['plss', 'already', 'desperate', 'jirr', 'gausa', 'laughs', 'yh', 'km', 'munji']","['plss', 'alreadi', 'desper', 'jirr', 'gausa', 'laugh', 'yh', 'km', 'munji']",plss alreadi desper jirr gausa laugh yh km munji,0.31,0.0,0.69,positive
Kemarin ke jne jampt dan sicepat bonus ketemu biawak nyebrang PO kibor pertama saya nyampe next week semoga sebelum mudik pls pls saya excited sangat mau ngirim sendiri Minimal liat terus kepencet cekot sampe bayar,Kemarin ke jampt dan bonus ketemu biawak nyebrang PO kibor pertama saya nyampe next week semoga sebelum mudik pls pls saya excited sangat mau ngirim sendiri Minimal liat terus kepencet cekot sampe bayar,"yesterday to jampt and the bonus met the lizard crossing the first kibor i arrived next week, hopefully before going home pls pls i was excited, i really wanted to send myself at least and continued to keep the chipping until i paid",yesterday jampt bonus met lizard crossing first kibor arrived next week hopefully going home pls pls excited really wanted send least continued keep chipping paid,"['yesterday', 'jampt', 'bonus', 'met', 'lizard', 'crossing', 'first', 'kibor', 'arrived', 'next', 'week', 'hopefully', 'going', 'home', 'pls', 'pls', 'excited', 'really', 'wanted', 'send', 'least', 'continued', 'keep', 'chipping', 'paid']","['yesterday', 'jampt', 'bonu', 'met', 'lizard', 'cross', 'first', 'kibor', 'arriv', 'next', 'week', 'hope', 'go', 'home', 'pl', 'pl', 'excit', 'realli', 'want', 'send', 'least', 'continu', 'keep', 'chip', 'paid']",yesterday jampt bonu met lizard cross first kibor arriv next week hope go home pl pl excit realli want send least continu keep chip paid,0.154,0.0,0.846,positive
Biasanya dapet kurir rekomendasi sicepat dan jnt cepet saja tuh hari sampe ini hari di jkt doang,Biasanya dapet kurir rekomendasi dan cepet saja tuh hari sampe ini hari di jkt doang,usually i get a recommendation courier and fast food is the day until it is at jkt,usually get recommendation courier fast food day jkt,"['usually', 'get', 'recommendation', 'courier', 'fast', 'food', 'day', 'jkt']","['usual', 'get', 'recommend', 'courier', 'fast', 'food', 'day', 'jkt']",usual get recommend courier fast food day jkt,0.4,0.0,0.6,positive
Kalau belanja di Shopee pakai Sicepat lama banget sumpahh Kalau mau gercep SPX kalau yang oke Anteraja,Kalau belanja di Shopee pakai lama banget sumpahh Kalau mau gercep kalau yang oke,"if you shop at shopee, you take a long time to swear if you want to get a germs if it's okay",shop shopee take long time swear want get germs okay,"['shop', 'shopee', 'take', 'long', 'time', 'swear', 'want', 'get', 'germs', 'okay']","['shop', 'shope', 'take', 'long', 'time', 'swear', 'want', 'get', 'germ', 'okay']",shop shope take long time swear want get germ okay,0.281,0.105,0.614,positive
Kalau di bogor tempat ku sicepat si nder Kurir pick upnya baik banget makanya bisa pick up cuman sebiji,Kalau di bogor tempat ku si nder Kurir pick upnya baik banget makanya bisa pick up cuman sebiji,"if in bogor where i the nder courier the pick up is really good, so i can pick up only",bogor nder courier pick really good pick,"['bogor', 'nder', 'courier', 'pick', 'really', 'good', 'pick']","['bogor', 'nder', 'courier', 'pick', 'realli', 'good', 'pick']",bogor nder courier pick realli good pick,0.326,0.0,0.674,positive
gila ya paket gw tidak dipickup sudah hari kasih kejelasan lah,gila ya paket gw tidak dipickup sudah hari kasih kejelasan lah,"crazy, yes, my package is not pickup, i have a clear day",crazy yes package pickup clear day,"['crazy', 'yes', 'package', 'pickup', 'clear', 'day']","['crazi', 'ye', 'packag', 'pickup', 'clear', 'day']",crazi ye packag pickup clear day,0.342,0.0,0.658,positive
Guys ada yang tahu tidak ini apgimana Kan admin gw pertama kali minta pick up in sicepat trnyta ada chat begini ini ap yak gw kagak paham juga soalnya skskks tidak usah ditanggepin atoo bales ap,Guys ada yang tahu tidak ini apgimana Kan admin gw pertama kali minta pick up in trnyta ada chat begini ini ap yak gw kagak paham juga soalnya skskks tidak usah ditanggepin atoo bales ap,"guys anyone knows, i don't have the admin, i first asked for pick up in trnyta, there is a chat like this.",guys anyone knows admin first asked pick trnyta chat like this,"['guys', 'anyone', 'knows', 'admin', 'first', 'asked', 'pick', 'trnyta', 'chat', 'like', 'this']","['guy', 'anyon', 'know', 'admin', 'first', 'ask', 'pick', 'trnyta', 'chat', 'like', 'thi']",guy anyon know admin first ask pick trnyta chat like thi,0.2,0.0,0.8,positive
Sicepat yang tidak cepat,yang tidak cepat,which is not fast,fast,['fast'],['fast'],fast,1.0,0.0,0.0,positive
Ini bagaimana dah orang mau jualan saja kudu nganter sendiri sengaja request pick up karena tidak tahu counter sicepat disini dimana tahu Kurirnya saja tidak dateng ke rumah main ngetik alesan seller drop sendiri mentangmentang paket gw cuma satu apa bagaimana,Ini bagaimana dah orang mau jualan saja kudu nganter sendiri sengaja request pick up karena tidak tahu counter disini dimana tahu Kurirnya saja tidak dateng ke rumah main ngetik alesan seller drop sendiri mentangmentang paket gw cuma satu apa bagaimana,"this is how people want to sell, i have to go, i deliberately request a pick up because i don't know the counter here where you know that the courier is not coming to the house playing with the seller drop itself, but my package is just one what",people want sell go deliberately request pick know counter know courier coming house playing seller drop itself package one,"['people', 'want', 'sell', 'go', 'deliberately', 'request', 'pick', 'know', 'counter', 'know', 'courier', 'coming', 'house', 'playing', 'seller', 'drop', 'itself', 'package', 'one']","['peopl', 'want', 'sell', 'go', 'deliber', 'request', 'pick', 'know', 'counter', 'know', 'courier', 'come', 'hous', 'play', 'seller', 'drop', 'itself', 'packag', 'one']",peopl want sell go deliber request pick know counter know courier come hous play seller drop itself packag one,0.17,0.096,0.734,positive
Karena punya temenku yang event fancall dan gamenang sudah sampe rumah kak di beberapa go saya juga sudah dikirim mereka pakenya sicepat sama spx,Karena punya temenku yang event fancall dan gamenang sudah sampe rumah kak di beberapa go saya juga sudah dikirim mereka pakenya sama,"because i have my friends who are fancall and gamenang events have arrived at kak's house in some go, i have also sent the same.",friends fancall gamenang events arrived kaks house go also sent same,"['friends', 'fancall', 'gamenang', 'events', 'arrived', 'kaks', 'house', 'go', 'also', 'sent', 'same']","['friend', 'fancal', 'gamenang', 'event', 'arriv', 'kak', 'hous', 'go', 'also', 'sent', 'same']",friend fancal gamenang event arriv kak hous go also sent same,0.242,0.0,0.758,positive
Ini sekarang CO gabisa ubah jodante lagi kahhh maksa banget px sumpah nyusahin kaya kalau opsi ada sicepat spx sama jampt yang muncul spx sama sicepat saja Apa voucher tertentu,Ini sekarang CO gabisa ubah jodante lagi kahhh maksa banget px sumpah nyusahin kaya kalau opsi ada sama jampt yang muncul sama saja Apa voucher tertentu,"this is now co, i can't change jodante again, if i really force it, i swear to be rich if the option is the same as the jampt that appears the same, what a particular voucher",co cant change jodante again really force it swear rich option jampt appears same particular voucher,"['co', 'cant', 'change', 'jodante', 'again', 'really', 'force', 'it', 'swear', 'rich', 'option', 'jampt', 'appears', 'same', 'particular', 'voucher']","['co', 'cant', 'chang', 'jodant', 'again', 'realli', 'forc', 'it', 'swear', 'rich', 'option', 'jampt', 'appear', 'same', 'particular', 'voucher']",co cant chang jodant again realli forc it swear rich option jampt appear same particular voucher,0.191,0.064,0.745,positive
